id,actual,baseline,CommonAuthorities,Negativity,PersonProperty,DirectAddress,OralCues
605,CO,TR,TR,TR,CO,TC,CO
606,TR,TR,TR,TC,TR,TR,TR
607,TR,TR,TR,TR,TR,TR,TR
608,TR,TR,TR,CO,TR,TR,TR
609,TR,TR,TR,TR,TR,TR,TR
610,TR,TR,TR,CO,TR,TR,TR
611,TR,TR,TR,TR,TR,TR,TR
612,TR,TR,TR,TR,TR,TR,TR
613,TR,TR,TR,TR,TR,TR,TR
614,TC,TR,TR,TC,TR,TR,TR
615,TC,TR,TR,TR,TR,TR,TR
616,CO,CO,CO,CO,CO,CO,CO
617,CO,CO,HI,TR,CO,CO,CO
618,CO,CO,CO,CO,CO,CO,CO
619,CO,CO,HI,CO,CO,CO,CO
620,CO,CO,CO,CO,CO,CO,CO
621,CO,CO,CO,CO,CO,CO,CO
622,CO,CO,CO,CO,TC,CO,TC
623,CO,CO,HI,TR,CO,CO,CO
624,TR,TR,CO,CO,TR,TR,TR
625,TR,TR,TR,TR,TR,TR,CO
626,TC,CO,CO,CO,TC,CO,TC
627,TC,CO,HI,TR,CO,CO,CO
628,TC,TC,CO,CO,TC,TR,TR
629,TC,TC,TR,TR,CO,TC,CO
630,TC,TR,CO,CO,TR,TR,TR
631,TC,TR,TR,TR,CO,TC,CO
632,CO,CO,CO,CO,CO,CO,CO
633,CO,CO,CO,TR,CO,CO,CO
634,CO,CO,CO,CO,CO,CO,CO
635,CO,CO,CO,TR,CO,CO,CO
636,CO,CO,CO,CO,TC,CO,TC
637,CO,CO,HI,TR,CO,CO,CO
638,TR,TR,CO,CO,TR,TR,TR
639,TR,TR,TR,TR,CO,CO,CO
640,TR,TC,CO,CO,TC,TC,TC
641,TR,TC,HI,TR,CO,TC,CO
642,TR,TR,CO,CO,TR,TR,TR
643,TR,TR,TR,TR,CO,TR,CO
644,CO,CO,CO,CO,CO,CO,CO
645,CO,CO,HI,TR,CO,CO,CO
646,CO,CO,CO,CO,TC,CO,TC
647,CO,CO,HI,TR,CO,CO,CO
648,CO,CO,CO,CO,CO,CO,CO
649,CO,CO,HI,TR,CO,CO,CO
650,CO,CO,CO,CO,CO,CO,CO
651,CO,CO,CO,CO,CO,CO,CO
652,TR,CO,CO,CO,TR,CO,TR
653,TR,CO,HI,TR,CO,CO,CO
654,CO,CO,CO,CO,TC,CO,TC
655,CO,CO,TC,TR,CO,CO,CO
656,TR,TR,TR,CO,TR,TR,TR
657,TR,TR,TR,TR,TR,TR,TR
658,CO,CO,CO,CO,CO,CO,CO
659,CO,CO,HI,TR,CO,CO,CO
660,CO,CO,CO,CO,CO,CO,CO
661,CO,CO,CO,TR,CO,CO,CO
662,TR,TR,CO,CO,TR,TR,TR
663,TR,TR,TR,TR,CO,TR,CO
664,TC,CO,CO,CO,TR,CO,TR
665,TC,CO,HI,TR,CO,CO,CO
666,CO,CO,CO,CO,TC,CO,TR
667,CO,CO,HI,TR,CO,CO,CO
668,CO,CO,CO,CO,CO,CO,CO
669,CO,CO,CO,CO,CO,CO,CO
670,TC,TR,CO,CO,TR,TR,TR
671,TC,TR,TR,TR,CO,TR,CO
672,TC,CO,CO,CO,TC,CO,TC
673,TC,CO,HI,TR,CO,CO,CO
674,CO,CO,CO,CO,TC,CO,TC
675,CO,CO,TR,TR,CO,CO,CO
676,TR,TR,CO,CO,TR,TR,TR
677,TR,TR,HI,TR,HI,TR,CO
678,CO,CO,CO,CO,TC,CO,TR
679,CO,CO,TR,TR,CO,CO,CO
680,TR,TR,CO,CO,TR,TR,TR
681,TR,TR,TR,TR,CO,TR,CO
682,TR,CO,CO,CO,TR,CO,TR
683,TR,CO,TR,TR,CO,CO,CO
684,TR,TR,TR,TC,TR,TR,TR
685,TR,TR,TR,TR,TR,TR,TR
686,TR,TR,TR,TC,TR,TR,TR
687,TR,TR,TR,TR,TR,TR,TR
688,TC,CO,CO,CO,TC,TR,TR
689,TC,CO,TR,TR,CO,CO,CO
690,CO,TC,CO,CO,TC,TC,TC
691,CO,TC,TR,TR,CO,TC,CO
692,TR,TR,CO,CO,TR,TR,TR
693,TR,TR,HI,TR,HI,TR,CO
694,CO,TR,CO,CO,TR,TR,TR
695,CO,TR,TR,TR,CO,TC,CO
696,TR,TR,CO,CO,TR,TR,TR
697,TR,TR,TR,TR,CO,TR,CO
698,CO,CO,CO,CO,CO,CO,CO
699,CO,CO,HI,TR,CO,CO,CO
700,CO,CO,CO,CO,TR,CO,TR
701,CO,CO,HI,TR,CO,CO,CO
702,CO,CO,CO,CO,CO,CO,CO
703,CO,CO,HI,TR,CO,CO,CO
704,CO,CO,CO,CO,TC,CO,TC
705,CO,CO,HI,TR,CO,CO,CO
706,CO,CO,CO,CO,TR,CO,TR
707,CO,CO,HI,TR,CO,CO,CO
708,CO,CO,CO,CO,TR,CO,TR
709,CO,CO,TR,TR,CO,CO,CO
710,CO,CO,CO,CO,CO,CO,CO
711,CO,CO,HI,TR,CO,CO,CO
712,CO,TR,CO,CO,TR,TR,TR
713,CO,TR,TR,TR,CO,TR,CO
714,CO,TR,CO,CO,TR,TR,TR
715,CO,TR,TR,TR,CO,TR,CO
716,CO,CO,CO,CO,TR,CO,TR
717,CO,CO,HI,TR,CO,CO,CO
718,CO,CO,CO,CO,CO,CO,CO
719,CO,CO,HI,TR,CO,CO,CO
720,CO,CO,CO,CO,CO,CO,CO
721,CO,CO,CO,CO,CO,CO,CO
722,CO,CO,CO,CO,TR,CO,TR
723,CO,CO,HI,TR,CO,CO,CO
724,HI,TR,CO,CO,TR,TR,TR
725,HI,TR,TR,TR,CO,TR,CO
726,CO,CO,CO,CO,TR,CO,TR
727,CO,CO,HI,TR,CO,CO,CO
728,HI,HI,CO,HI,HI,HI,HI
729,HI,HI,HI,TR,HI,HI,HI
730,CO,CO,CO,CO,CO,CO,CO
731,CO,CO,CO,TR,CO,CO,CO
732,CO,CO,CO,CO,CO,CO,CO
733,CO,CO,HI,TR,CO,CO,CO
734,HI,CO,CO,CO,TR,TR,TR
735,HI,CO,HI,TR,CO,CO,CO
736,CO,CO,CO,CO,TR,CO,TR
737,CO,CO,TR,TR,CO,CO,CO
738,TR,CO,CO,CO,TR,CO,TR
739,TR,CO,TR,TR,CO,CO,CO
740,CO,CO,CO,CO,CO,CO,CO
741,CO,CO,HI,TR,CO,CO,CO
742,HI,TR,CO,CO,TR,TR,TR
743,HI,TR,HI,TR,HI,TR,HI
744,CO,CO,CO,CO,TR,CO,TR
745,CO,CO,TR,TR,CO,CO,CO
746,CO,CO,CO,CO,TC,CO,TC
747,CO,CO,HI,TR,CO,CO,CO
748,CO,CO,CO,CO,CO,CO,CO
749,CO,CO,HI,TR,CO,CO,CO
750,CO,TR,CO,CO,TR,TR,TR
751,CO,TR,TR,TR,CO,TR,CO
752,CO,TC,CO,CO,TC,TC,TC
753,CO,TC,HI,TR,CO,TC,CO
754,TC,CO,CO,CO,CO,CO,CO
755,TC,CO,HI,TR,CO,CO,CO
756,CO,CO,CO,CO,TR,CO,TR
757,CO,CO,HI,TR,CO,CO,CO
758,CO,CO,CO,CO,TC,CO,TR
759,CO,CO,TR,TR,CO,CO,CO
760,CO,CO,CO,CO,TC,CO,TR
761,CO,CO,TR,TR,CO,CO,CO
762,CO,CO,CO,CO,CO,CO,CO
763,CO,CO,HI,TR,CO,CO,CO
764,CO,CO,CO,CO,CO,CO,CO
765,CO,CO,CO,TR,CO,CO,CO
766,CO,CO,CO,CO,CO,CO,CO
767,CO,CO,HI,TR,CO,CO,CO
768,CO,CO,CO,CO,CO,CO,CO
769,CO,CO,TR,TR,CO,CO,CO
770,HI,TR,CO,CO,TR,TR,TR
771,HI,TR,TR,TR,CO,TR,CO
772,CO,CO,CO,CO,CO,CO,CO
773,CO,CO,CO,TR,CO,CO,CO
774,TC,CO,CO,CO,CO,CO,CO
775,TC,CO,HI,TR,CO,CO,CO
776,TC,CO,CO,CO,TC,CO,TC
777,TC,CO,HI,TR,CO,CO,CO
778,TC,CO,CO,CO,TR,CO,TR
779,TC,CO,TR,TR,CO,CO,CO
780,TC,CO,CO,CO,CO,CO,CO
781,TC,CO,HI,TR,CO,CO,CO
782,CO,CO,CO,CO,CO,CO,CO
783,CO,CO,TR,TR,CO,CO,CO
784,CO,CO,CO,CO,CO,CO,CO
785,CO,CO,HI,TR,CO,CO,CO
786,CO,CO,CO,CO,CO,CO,CO
787,CO,CO,CO,TR,CO,CO,CO
788,TC,CO,CO,CO,TR,CO,TR
789,TC,CO,HI,TR,CO,CO,CO
790,TR,CO,CO,CO,TR,CO,TR
791,TR,CO,HI,TR,CO,CO,CO
792,CO,CO,CO,CO,CO,CO,TR
793,CO,CO,TR,TR,CO,CO,CO
794,TR,CO,CO,CO,TR,TR,TR
795,TR,CO,TR,TR,CO,CO,CO
796,CO,CO,CO,CO,CO,CO,CO
797,CO,CO,HI,TR,CO,CO,CO
798,TC,CO,CO,CO,TR,CO,TR
799,TC,CO,HI,TR,CO,CO,CO
800,CO,CO,CO,CO,CO,CO,CO
801,CO,CO,CO,TR,CO,CO,CO
802,CO,CO,CO,CO,CO,CO,CO
803,CO,CO,HI,TR,CO,CO,CO
804,TC,CO,CO,CO,CO,CO,CO
805,TC,CO,HI,TR,CO,CO,CO
806,TC,CO,CO,CO,TC,CO,TC
807,TC,CO,HI,TR,CO,CO,CO
808,TC,CO,CO,CO,CO,CO,TR
809,TC,CO,TR,TR,CO,CO,CO
810,TC,CO,CO,CO,TR,CO,TR
811,TC,CO,TR,TR,CO,CO,CO
812,CO,CO,CO,CO,CO,CO,CO
813,CO,CO,CO,TR,CO,CO,CO
814,TR,CO,CO,CO,TR,CO,TR
815,TR,CO,HI,TR,CO,CO,CO
816,CO,CO,CO,CO,TR,CO,TR
817,CO,CO,HI,TR,CO,CO,CO
818,TC,CO,CO,CO,CO,CO,CO
819,TC,CO,CO,TR,CO,CO,CO
820,CO,CO,CO,CO,CO,CO,CO
821,CO,CO,CO,CO,CO,CO,CO
822,TC,TR,TR,HI,TR,TR,TR
823,TC,TR,TR,TR,TR,TR,TR
824,CO,CO,CO,CO,CO,CO,CO
825,CO,CO,CO,CO,CO,CO,CO
826,TC,CO,CO,CO,CO,CO,TR
827,TC,CO,HI,TR,CO,CO,CO
828,CO,CO,CO,CO,TC,CO,TC
829,CO,CO,HI,TR,CO,CO,CO
830,CO,CO,CO,CO,CO,CO,CO
831,CO,CO,HI,TR,CO,CO,CO
832,CO,TR,CO,CO,TR,TR,TR
833,CO,TR,HI,TR,CO,CO,CO
834,TR,TR,TR,CO,TR,TR,TR
835,TR,TR,TR,TR,TR,TR,TR
836,TR,TR,TR,HI,TR,TR,TR
837,TR,TR,TR,TR,TR,TR,TR
838,TC,TR,CO,CO,TR,TR,TR
839,TC,TR,TR,TR,CO,TR,CO
840,TR,HI,CO,CO,TR,HI,TR
841,TR,HI,HI,TR,HI,HI,CO
842,TC,TR,TR,CO,TR,TR,TR
843,TC,TR,TR,TR,TR,TR,TR
844,TR,TR,TR,CO,TR,TR,TR
845,TR,TR,TR,TR,TR,TR,TR
846,TR,TR,TR,CO,TR,TR,TR
847,TR,TR,TR,TR,TR,TR,TR
848,TR,CO,CO,CO,TR,TR,TR
849,TR,CO,TR,TR,CO,CO,CO
850,TC,CO,CO,CO,TC,CO,TC
851,TC,CO,TR,TR,CO,CO,CO
852,TC,CO,CO,CO,TC,CO,TR
853,TC,CO,HI,TR,CO,CO,CO
854,TR,TR,TR,CO,TR,TR,TR
855,TR,TR,TR,TR,TR,TR,TR
856,TR,TR,TR,TC,TR,TR,TR
857,TR,TR,TR,TR,TR,TR,TR
858,CO,TR,CO,CO,TR,TR,TR
859,CO,TR,TR,TR,CO,TC,CO
860,CO,CO,CO,CO,CO,CO,CO
861,CO,CO,CO,CO,CO,CO,CO
862,CO,CO,CO,CO,TC,CO,TC
863,CO,CO,TC,TR,CO,CO,CO
864,CO,CO,CO,CO,CO,CO,CO
865,CO,CO,CO,TR,CO,CO,CO
866,CO,CO,CO,CO,TC,CO,TC
867,CO,CO,HI,TR,CO,CO,CO
868,TR,TR,CO,CO,TR,TR,TR
869,TR,TR,TR,TR,TR,TR,TR
870,TC,TR,CO,CO,TR,TR,TR
871,TC,TR,TR,TR,TR,TR,CO
872,TR,TR,CO,CO,TR,TR,TR
873,TR,TR,TR,TR,CO,TR,CO
874,TR,CO,CO,CO,CO,CO,CO
875,TR,CO,HI,TR,CO,CO,CO
876,CO,CO,CO,CO,CO,CO,CO
877,CO,CO,HI,TR,CO,CO,CO
878,TC,TR,CO,CO,TR,TR,TR
879,TC,TR,TR,TR,TR,TR,TR
880,TC,CO,CO,CO,TR,TR,TR
881,TC,CO,TR,TR,CO,CO,CO
882,TC,TR,CO,CO,TR,TR,TR
883,TC,TR,TR,TR,TR,TR,TR
884,TC,TR,CO,CO,TR,TR,TR
885,TC,TR,TR,TR,CO,TR,CO
886,TR,TR,CO,CO,TR,TR,TR
887,TR,TR,TR,TR,CO,TR,CO
888,CO,CO,CO,CO,CO,CO,TR
889,CO,CO,HI,TR,CO,CO,CO
890,CO,CO,CO,CO,CO,CO,CO
891,CO,CO,CO,CO,CO,CO,CO
892,TC,CO,CO,CO,TC,CO,TR
893,TC,CO,TR,TR,CO,CO,CO
894,CO,CO,CO,CO,CO,CO,CO
895,CO,CO,HI,TR,CO,CO,CO
896,TR,TR,CO,CO,TR,TR,TR
897,TR,TR,TR,TR,CO,TR,CO
898,TC,TR,CO,CO,TR,TR,TR
899,TC,TR,TR,TR,CO,TR,CO
900,TC,TR,CO,CO,TR,TR,TR
901,TC,TR,TR,TR,TR,TR,TR
902,CO,CO,CO,CO,TR,CO,TR
903,CO,CO,TR,TR,CO,CO,CO
904,CO,CO,CO,CO,TR,CO,TR
905,CO,CO,TR,TR,CO,CO,CO
906,TC,TR,CO,CO,TR,TR,TR
907,TC,TR,TR,TR,CO,TR,CO
908,TC,TR,CO,CO,TR,TR,TR
909,TC,TR,TR,TR,TR,TR,TR
910,TC,TR,CO,CO,TR,TR,TR
911,TC,TR,TR,TR,CO,CO,CO
912,TC,CO,CO,CO,TR,CO,TR
913,TC,CO,TR,TR,CO,CO,CO
914,CO,CO,CO,CO,TR,TR,TR
915,CO,CO,TR,TR,CO,CO,CO
916,TR,TR,CO,CO,TR,TR,TR
917,TR,TR,TR,TR,CO,TR,CO
918,CO,CO,CO,CO,TC,CO,TC
919,CO,CO,HI,TR,CO,CO,CO
920,CO,CO,CO,CO,CO,CO,CO
921,CO,CO,HI,TR,CO,CO,CO
922,TC,TR,CO,CO,TR,TR,TR
923,TC,TR,TR,TR,CO,TR,CO
924,CO,TR,CO,CO,TR,TR,TR
925,CO,TR,TR,TR,CO,TR,CO
926,TC,CO,CO,CO,CO,CO,CO
927,TC,CO,HI,TR,CO,CO,CO
928,CO,CO,CO,CO,CO,CO,CO
929,CO,CO,HI,TR,CO,CO,CO
930,TC,CO,CO,CO,CO,CO,CO
931,TC,CO,HI,TR,CO,CO,CO
932,TR,TR,CO,CO,TR,TR,TR
933,TR,TR,TR,TR,CO,TR,CO
934,TC,CO,CO,CO,TC,CO,TC
935,TC,CO,HI,TR,CO,CO,CO
936,CO,CO,CO,CO,CO,CO,CO
937,CO,CO,CO,TR,CO,CO,CO
938,TR,CO,CO,CO,TR,CO,TR
939,TR,CO,TR,TR,CO,CO,CO
940,CO,CO,CO,CO,TR,CO,TR
941,CO,CO,TR,TR,CO,CO,CO
942,CO,CO,CO,CO,CO,CO,CO
943,CO,CO,HI,TR,CO,CO,CO
944,CO,CO,CO,CO,CO,CO,CO
945,CO,CO,HI,TR,CO,CO,CO
946,CO,CO,CO,CO,TR,CO,TR
947,CO,CO,HI,TR,CO,CO,CO
948,TR,CO,CO,CO,TC,CO,TR
949,TR,CO,HI,TR,CO,CO,CO
950,TR,TR,CO,CO,TR,TR,TR
951,TR,TR,TR,TR,CO,TR,CO
952,TC,CO,CO,CO,TC,TR,TR
953,TC,CO,HI,TR,CO,CO,CO
954,TC,CO,CO,CO,TC,CO,TC
955,TC,CO,TR,TR,CO,CO,CO
956,CO,CO,CO,CO,CO,CO,CO
957,CO,CO,CO,TR,CO,CO,CO
958,CO,CO,CO,CO,TR,CO,TR
959,CO,CO,TR,TR,CO,CO,CO
960,TR,CO,CO,CO,CO,CO,CO
961,TR,CO,HI,TR,CO,CO,CO
962,CO,CO,CO,CO,TR,CO,TR
963,CO,CO,HI,TR,CO,CO,CO
964,TC,TR,CO,CO,TR,TR,TR
965,TC,TR,TR,TR,CO,TR,CO
966,CO,CO,CO,CO,TR,CO,TR
967,CO,CO,HI,TR,CO,CO,CO
968,CO,HI,CO,CO,HI,HI,HI
969,CO,HI,HI,HI,HI,HI,CO
970,CO,CO,CO,CO,CO,CO,CO
971,CO,CO,CO,TR,CO,CO,CO
972,CO,CO,CO,CO,CO,CO,CO
973,CO,CO,CO,CO,CO,CO,CO
974,CO,CO,CO,CO,CO,CO,CO
975,CO,CO,HI,TR,CO,CO,CO
976,CO,TR,TR,CO,TR,TR,TR
977,CO,TR,TR,TR,TR,TR,TR
978,CO,TR,CO,CO,TR,TR,TR
979,CO,TR,TR,TR,CO,TR,CO
980,TC,TR,CO,CO,TR,TR,TR
981,TC,TR,TR,TR,CO,CO,CO
982,TC,TR,CO,CO,TR,TR,TR
983,TC,TR,TR,TR,TR,TR,TR
984,TC,CO,CO,CO,CO,CO,CO
985,TC,CO,HI,TR,CO,CO,CO
986,TC,CO,CO,CO,TR,CO,TR
987,TC,CO,TR,TR,CO,CO,CO
988,TC,TR,TR,HI,TR,TR,TR
989,TC,TR,TR,TR,TR,TR,TR
990,TR,TR,TR,CO,TR,TR,TR
991,TR,TR,TR,TR,TR,TR,TR
992,TR,TR,CO,CO,TR,TR,TR
993,TR,TR,HI,TR,HI,TR,CO
994,CO,CO,CO,CO,TC,CO,TC
995,CO,CO,HI,TR,CO,CO,CO
996,TC,CO,CO,CO,CO,CO,CO
997,TC,CO,HI,TR,CO,CO,CO
998,TC,TR,CO,CO,TR,TR,TR
999,TC,TR,TR,TR,CO,TR,CO
1000,TR,TR,CO,CO,TR,TR,TR
1001,TR,TR,TR,TR,CO,TR,CO
1002,CO,CO,CO,CO,CO,CO,CO
1003,CO,CO,HI,TR,CO,CO,CO
1004,CO,CO,CO,CO,CO,CO,CO
1005,CO,CO,HI,TR,CO,CO,CO
1006,TC,CO,CO,CO,TC,CO,TC
1007,TC,CO,HI,TR,CO,CO,CO
1008,TC,CO,CO,CO,TR,CO,TR
1009,TC,CO,TR,TR,CO,CO,CO
1010,TR,CO,CO,CO,TR,TR,TR
1011,TR,CO,TR,TR,CO,CO,CO
1012,TC,CO,CO,CO,TC,CO,TR
1013,TC,CO,HI,TR,CO,CO,CO
1014,TR,TR,CO,CO,TR,TR,TR
1015,TR,TR,TR,TR,TR,TR,TR
1016,TR,TR,CO,CO,TR,TR,TR
1017,TR,TR,TR,TR,CO,TR,CO
1018,CO,TR,CO,CO,TR,TR,TR
1019,CO,TR,TR,TR,CO,CO,CO
1020,TC,CO,CO,CO,CO,CO,CO
1021,TC,CO,HI,TR,CO,CO,CO
1022,CO,CO,CO,CO,CO,CO,CO
1023,CO,CO,CO,CO,CO,CO,CO
1024,TR,TR,CO,CO,TR,TR,TR
1025,TR,TR,TR,TR,CO,TR,CO
1026,TR,TR,CO,CO,TR,TR,TR
1027,TR,TR,TR,TR,TR,TR,TR
1028,HI,TR,CO,CO,TR,TR,TR
1029,HI,TR,TR,TR,CO,TR,CO
1030,CO,CO,CO,CO,CO,CO,CO
1031,CO,CO,CO,TR,CO,CO,CO
1032,TR,TR,TR,TR,TR,TR,TR
1033,TR,TR,TR,TR,TR,TR,TR
1034,CO,CO,CO,CO,TR,CO,TR
1035,CO,CO,TR,TR,CO,CO,CO
1036,CO,TR,TR,CO,TR,TR,TR
1037,CO,TR,TR,TR,HI,TR,TR
1038,CO,CO,CO,CO,TC,CO,TC
1039,CO,CO,HI,TR,CO,CO,CO
1040,HI,CO,CO,CO,CO,CO,CO
1041,HI,CO,HI,TR,CO,CO,CO
1042,CO,HI,CO,CO,HI,HI,HI
1043,CO,HI,HI,TR,HI,HI,HI
1044,TC,TR,CO,CO,TR,TR,TR
1045,TC,TR,TR,TR,CO,CO,CO
1046,CO,CO,CO,CO,CO,CO,CO
1047,CO,CO,CO,TR,CO,CO,CO
1048,CO,CO,CO,CO,CO,CO,CO
1049,CO,CO,CO,TR,CO,CO,CO
1050,CO,CO,CO,CO,CO,CO,CO
1051,CO,CO,HI,TR,CO,CO,CO
1052,CO,CO,CO,CO,CO,CO,CO
1053,CO,CO,CO,CO,CO,CO,CO
1054,TR,TR,TR,TR,TR,TR,TR
1055,TR,TR,TR,TR,TR,TR,TR
1056,TC,TR,TR,CO,TR,TR,TR
1057,TC,TR,TR,TR,TR,TR,TR
1058,TC,TR,TR,TR,TR,TR,TR
1059,TC,TR,TR,TR,TR,TR,TR
1060,TR,TR,CO,CO,TR,TR,TR
1061,TR,TR,HI,TR,CO,TC,CO
1062,CO,CO,CO,CO,CO,CO,CO
1063,CO,CO,HI,TR,CO,CO,CO
1064,CO,CO,CO,CO,CO,CO,CO
1065,CO,CO,HI,TR,CO,CO,CO
1066,CO,CO,CO,CO,CO,CO,CO
1067,CO,CO,HI,TR,CO,CO,CO
1068,CO,CO,CO,CO,CO,CO,CO
1069,CO,CO,CO,CO,CO,CO,CO
1070,CO,CO,CO,CO,CO,CO,CO
1071,CO,CO,CO,TR,CO,CO,CO
1072,CO,CO,CO,CO,CO,CO,CO
1073,CO,CO,TR,TR,CO,CO,CO
1074,TC,CO,CO,CO,TC,CO,TC
1075,TC,CO,HI,TR,CO,CO,CO
1076,CO,CO,CO,CO,CO,CO,CO
1077,CO,CO,CO,CO,CO,CO,CO
1078,CO,CO,CO,CO,CO,CO,CO
1079,CO,CO,CO,CO,CO,CO,CO
1080,TC,CO,CO,CO,TR,TR,TR
1081,TC,CO,HI,TR,CO,CO,CO
1082,TC,CO,CO,CO,TC,CO,TC
1083,TC,CO,HI,TR,CO,CO,CO
1084,CO,CO,CO,CO,TC,CO,TC
1085,CO,CO,HI,TR,CO,CO,CO
1086,TR,TR,TR,CO,TR,TR,TR
1087,TR,TR,TR,TR,TR,TR,TR
1088,TR,TR,CO,CO,TR,TR,TR
1089,TR,TR,TR,TR,TR,TR,TR
1090,TR,TR,CO,CO,TR,TR,TR
1091,TR,TR,TR,TR,CO,TR,CO
1092,CO,CO,CO,CO,CO,CO,CO
1093,CO,CO,CO,TR,CO,CO,CO
1094,CO,TC,CO,CO,TC,TR,TR
1095,CO,TC,TR,TR,CO,TC,CO
1096,CO,CO,CO,CO,TC,CO,TC
1097,CO,CO,TR,TR,CO,CO,CO
1098,TC,TR,TR,CO,TR,TR,TR
1099,TC,TR,TR,TR,TR,TR,TR
1100,CO,CO,CO,CO,CO,CO,CO
1101,CO,CO,HI,TR,CO,CO,CO
1102,CO,CO,CO,CO,TR,CO,TR
1103,CO,CO,HI,TR,CO,CO,CO
1104,TC,TR,CO,CO,TR,TR,TR
1105,TC,TR,TR,TR,TR,TR,CO
1106,TR,TR,CO,CO,TR,TR,TR
1107,TR,TR,TR,TR,TR,TR,CO
